occupation_id,occupation_title,occupation_family
815,"Sewers, Hand",Production
816,Sewing Machine Operators,Production
817,Shoe and Leather Workers and Repairers,Production
818,Shoe Machine Operators and Tenders,Production
819,Slaughterers and Meat Packers,Production
820,Stationary Engineers and Boiler Operators,Production
821,"Stone Cutters and Carvers, Manufacturing",Production
822,Structural Metal Fabricators and Fitters,Production
823,"Tailors, Dressmakers, and Custom Sewers",Production
824,Team Assemblers,Production
825,Textile Bleaching and Dyeing Machine Operators and Tenders,Production
826,"Textile Cutting Machine Setters, Operators, and Tenders",Production
827,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Production
828,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Production
829,Timing Device Assemblers and Adjusters,Production
830,Tire Builders,Production
831,Tool and Die Makers,Production
832,"Tool Grinders, Filers, and Sharpeners",Production
833,Upholsterers,Production
834,Water and Wastewater Treatment Plant and System Operators,Production
835,"Welders, Cutters, Solderers, and Brazers",Production
836,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Production
837,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Production
838,Animal Control Workers,Protective Service
839,Bailiffs,Protective Service
840,Correctional Officers and Jailers,Protective Service
841,Crossing Guards and Flaggers,Protective Service
842,Customs and Border Protection Officers,Protective Service
843,Detectives and Criminal Investigators,Protective Service
844,Fire Inspectors and Investigators,Protective Service
845,Firefighters,Protective Service
846,First-Line Supervisors of Correctional Officers,Protective Service
847,First-Line Supervisors of Firefighting and Prevention Workers,Protective Service
848,First-Line Supervisors of Police and Detectives,Protective Service
849,First-Line Supervisors of Security Workers,Protective Service
850,Fish and Game Wardens,Protective Service
851,Forest Fire Inspectors and Prevention Specialists,Protective Service
852,Gambling Surveillance Officers and Gambling Investigators,Protective Service
853,Intelligence Analysts,Protective Service
854,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Protective Service
855,Parking Enforcement Workers,Protective Service
856,Police and Sheriff's Patrol Officers,Protective Service
857,Police Identification and Records Officers,Protective Service
858,Private Detectives and Investigators,Protective Service
859,Retail Loss Prevention Specialists,Protective Service
860,School Bus Monitors,Protective Service
861,Security Guards,Protective Service
862,Transit and Railroad Police,Protective Service
863,Transportation Security Screeners,Protective Service
864,Advertising Sales Agents,Sales and Related
865,Cashiers,Sales and Related
866,Counter and Rental Clerks,Sales and Related
867,Demonstrators and Product Promoters,Sales and Related
868,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related
869,First-Line Supervisors of Non-Retail Sales Workers,Sales and Related
870,First-Line Supervisors of Retail Sales Workers,Sales and Related
871,Gambling Change Persons and Booth Cashiers,Sales and Related
872,Insurance Sales Agents,Sales and Related
873,Loan Sales Agents,Sales and Related
874,Models,Sales and Related
875,Parts Salespersons,Sales and Related
876,Real Estate Brokers,Sales and Related
877,Real Estate Sales Agents,Sales and Related
878,Retail Salespersons,Sales and Related
879,Sales Engineers,Sales and Related
880,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sales and Related
881,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related
882,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Related
883,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related
884,Solar Sales Representatives and Assessors,Sales and Related
885,Telemarketers,Sales and Related
886,Travel Agents,Sales and Related
887,Air Traffic Controllers,Transportation and Material Moving
888,Aircraft Cargo Handling Supervisors,Transportation and Material Moving
889,Aircraft Service Attendants,Transportation and Material Moving
890,Airfield Operations Specialists,Transportation and Material Moving
891,"Airline Pilots, Copilots, and Flight Engineers",Transportation and Material Moving
892,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Transportation and Material Moving
893,Automotive and Watercraft Service Attendants,Transportation and Material Moving
894,Aviation Inspectors,Transportation and Material Moving
895,Bridge and Lock Tenders,Transportation and Material Moving
896,"Bus Drivers, School",Transportation and Material Moving
897,"Bus Drivers, Transit and Intercity",Transportation and Material Moving
898,"Captains, Mates, and Pilots of Water Vessels",Transportation and Material Moving
899,Cleaners of Vehicles and Equipment,Transportation and Material Moving
900,Commercial Pilots,Transportation and Material Moving
901,Conveyor Operators and Tenders,Transportation and Material Moving
902,Crane and Tower Operators,Transportation and Material Moving
903,Dredge Operators,Transportation and Material Moving
904,Driver/Sales Workers,Transportation and Material Moving
905,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Transportation and Material Moving
906,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Transportation and Material Moving
907,First-Line Supervisors of Passenger Attendants,Transportation and Material Moving
908,Flight Attendants,Transportation and Material Moving
909,Gas Compressor and Gas Pumping Station Operators,Transportation and Material Moving
910,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving
911,Hoist and Winch Operators,Transportation and Material Moving
912,Industrial Truck and Tractor Operators,Transportation and Material Moving
913,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving
914,Light Truck Drivers,Transportation and Material Moving
915,Locomotive Engineers,Transportation and Material Moving
916,Machine Feeders and Offbearers,Transportation and Material Moving
917,Motorboat Operators,Transportation and Material Moving
918,"Packers and Packagers, Hand",Transportation and Material Moving
919,Parking Attendants,Transportation and Material Moving
920,Passenger Attendants,Transportation and Material Moving
921,"Pump Operators, Except Wellhead Pumpers",Transportation and Material Moving
922,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Transportation and Material Moving
923,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Transportation and Material Moving
924,Railroad Conductors and Yardmasters,Transportation and Material Moving
925,Recycling and Reclamation Workers,Transportation and Material Moving
926,Recycling Coordinators,Transportation and Material Moving
927,Refuse and Recyclable Material Collectors,Transportation and Material Moving
928,Sailors and Marine Oilers,Transportation and Material Moving
929,Ship Engineers,Transportation and Material Moving
930,Shuttle Drivers and Chauffeurs,Transportation and Material Moving
931,Stockers and Order Fillers,Transportation and Material Moving
932,Subway and Streetcar Operators,Transportation and Material Moving
933,"Tank Car, Truck, and Ship Loaders",Transportation and Material Moving
934,Taxi Drivers,Transportation and Material Moving
935,Traffic Technicians,Transportation and Material Moving
936,Transportation Inspectors,Transportation and Material Moving
937,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Transportation and Material Moving
938,Wellhead Pumpers,Transportation and Material Moving
